Id,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE
1,237,1,1.75,1.99,0.0,0.0,0,0,0.5,1.99,1.75,0.91,0,0.0,0.0,0.24,1
2,239,1,1.75,1.99,0.0,0.3,0,1,0.6,1.69,1.75,0.6100000000000001,0,0.150754,0.0,0.24,1
3,245,1,1.86,2.09,0.17,0.0,0,0,0.68,2.09,1.69,1.07,0,0.0,0.091398,0.23,1
4,227,1,1.69,1.69,0.0,0.0,0,0,0.4,1.69,1.69,0.67,0,0.0,0.0,0.0,1
5,228,7,1.69,1.69,0.0,0.0,0,0,0.956535,1.69,1.69,0.67,1,0.0,0.0,0.0,0
6,230,7,1.69,1.99,0.0,0.0,0,1,0.965228,1.99,1.69,0.97,1,0.0,0.0,0.3,0
7,232,7,1.69,1.99,0.0,0.4,1,1,0.972182,1.59,1.69,0.5700000000000001,1,0.201005,0.0,0.3,0
8,234,7,1.75,1.99,0.0,0.4,1,0,0.977746,1.59,1.75,0.51,1,0.201005,0.0,0.24,0
9,235,7,1.75,1.99,0.0,0.4,0,0,0.982197,1.59,1.75,0.51,1,0.201005,0.0,0.24,0
10,238,7,1.75,1.99,0.0,0.4,0,0,0.985757,1.59,1.75,0.51,1,0.201005,0.0,0.24,0
11,240,7,1.86,2.09,0.0,0.0,0,0,0.988606,2.09,1.86,0.9,1,0.0,0.0,0.23,0
12,263,7,1.86,2.13,0.27,0.0,0,0,0.990885,2.13,1.59,1.21,1,0.0,0.1451609999999999,0.27,0
13,276,7,1.99,2.13,0.0,0.54,0,1,0.992708,1.59,1.99,0.27,1,0.253521,0.0,0.14,0
14,268,7,1.86,2.13,0.0,0.0,0,0,0.68,2.13,1.86,0.9400000000000001,1,0.0,0.0,0.27,0
15,278,7,2.06,2.13,0.0,0.0,0,0,0.7440000000000001,2.13,2.06,0.74,1,0.0,0.0,0.07,0
16,278,7,2.06,2.13,0.0,0.0,0,0,0.7952,2.13,2.06,0.74,1,0.0,0.0,0.07,0
17,240,1,1.75,1.99,0.0,0.3,0,1,0.5,1.69,1.75,0.6100000000000001,0,0.150754,0.0,0.24,1
18,268,2,1.86,2.18,0.0,0.0,0,1,0.4,2.18,1.86,0.99,0,0.0,0.0,0.32,2
19,269,2,1.86,2.18,0.0,0.0,0,0,0.32,2.18,1.86,0.99,0,0.0,0.0,0.32,2
20,254,7,1.86,2.18,0.0,0.0,0,0,0.5,2.18,1.86,0.99,1,0.0,0.0,0.32,0
21,257,7,1.86,2.18,0.0,0.0,0,0,0.6,2.18,1.86,0.99,1,0.0,0.0,0.32,0
22,258,1,1.76,2.18,0.0,0.0,0,0,0.68,2.18,1.76,1.09,0,0.0,0.0,0.42,1
23,259,7,1.86,2.18,0.0,0.0,0,0,0.7440000000000001,2.18,1.86,0.99,1,0.0,0.0,0.32,0
24,264,7,1.86,2.13,0.37,0.0,1,0,0.7952,2.13,1.49,1.31,1,0.0,0.198925,0.27,0
25,268,7,1.86,2.13,0.0,0.0,0,0,0.83616,2.13,1.86,0.9400000000000001,1,0.0,0.0,0.27,0
26,269,7,1.86,2.13,0.27,0.0,1,0,0.868928,2.13,1.59,1.21,1,0.0,0.1451609999999999,0.27,0
27,271,7,1.86,2.13,0.0,0.0,0,0,0.895142,2.13,1.86,0.9400000000000001,1,0.0,0.0,0.27,0
28,272,7,1.86,2.13,0.0,0.0,0,0,0.916114,2.13,1.86,0.9400000000000001,1,0.0,0.0,0.27,0
29,274,7,1.86,2.13,0.47,0.54,1,0,0.932891,1.59,1.39,0.8700000000000001,1,0.253521,0.252688,0.27,0
30,278,7,2.06,2.13,0.0,0.0,0,0,0.946313,2.13,2.06,0.74,1,0.0,0.0,0.07,0
31,246,2,1.89,2.09,0.0,0.0,0,0,0.5,2.09,1.89,0.8700000000000001,0,0.0,0.0,0.2,2
32,265,7,1.86,2.13,0.37,0.0,1,0,0.6,2.13,1.49,1.31,1,0.0,0.198925,0.27,0
33,275,2,1.96,2.18,0.0,0.8,0,1,0.68,1.38,1.96,0.09000000000000008,0,0.3669719999999999,0.0,0.22,2
34,232,2,1.69,1.69,0.0,0.0,1,0,0.68,1.69,1.69,0.67,0,0.0,0.0,0.0,2
35,251,3,1.99,2.23,0.0,0.0,0,0,0.544,2.23,1.99,0.91,0,0.0,0.0,0.24,3
36,256,3,1.99,2.29,0.0,0.0,0,0,0.6352,2.29,1.99,0.97,0,0.0,0.0,0.3,3
37,258,1,1.76,2.18,0.0,0.0,0,0,0.70816,2.18,1.76,1.09,0,0.0,0.0,0.42,1
38,277,1,1.99,2.13,0.24,0.0,0,0,0.7952,2.13,1.75,1.05,0,0.0,0.120603,0.14,1
39,271,4,1.99,2.09,0.1,0.4,1,0,0.4,1.69,1.89,0.47000000000000003,0,0.191388,0.050251,0.1,4
40,227,4,1.79,1.79,0.0,0.0,0,1,0.920961,1.79,1.79,0.67,0,0.0,0.0,0.0,4
41,229,4,1.79,1.79,0.0,0.0,0,0,0.936769,1.79,1.79,0.67,0,0.0,0.0,0.0,4
42,230,4,1.79,1.79,0.0,0.0,0,0,0.949415,1.79,1.79,0.67,0,0.0,0.0,0.0,4
43,233,4,1.79,2.09,0.0,0.0,0,0,0.959532,2.09,1.79,0.97,0,0.0,0.0,0.3,4
44,236,4,1.79,2.09,0.0,0.0,0,0,0.967626,2.09,1.79,0.97,0,0.0,0.0,0.3,4
45,237,4,1.79,2.09,0.0,0.0,0,0,0.9741,2.09,1.79,0.97,0,0.0,0.0,0.3,4
46,240,4,1.79,2.23,0.0,0.0,0,0,0.77928,2.23,1.79,1.11,0,0.0,0.0,0.44,4
47,244,4,1.99,2.23,0.0,0.0,0,0,0.8234239999999999,2.23,1.99,0.91,0,0.0,0.0,0.24,4
48,245,4,1.99,2.23,0.0,0.0,0,0,0.8587389999999999,2.23,1.99,0.91,0,0.0,0.0,0.24,4
49,246,4,1.99,2.23,0.0,0.0,0,0,0.886992,2.23,1.99,0.91,0,0.0,0.0,0.24,4
50,247,4,1.99,2.23,0.0,0.0,0,0,0.909593,2.23,1.99,0.91,0,0.0,0.0,0.24,4
51,248,4,1.99,2.23,0.0,0.0,0,0,0.927675,2.23,1.99,0.91,0,0.0,0.0,0.24,4
52,249,4,1.99,2.23,0.0,0.0,0,0,0.7421399999999999,2.23,1.99,0.91,0,0.0,0.0,0.24,4
53,252,4,1.99,2.23,0.0,0.0,0,0,0.793712,2.23,1.99,0.91,0,0.0,0.0,0.24,4
54,254,4,1.99,2.29,0.0,0.0,1,0,0.8349690000000001,2.29,1.99,0.97,0,0.0,0.0,0.3,4
55,256,4,1.99,2.29,0.0,0.0,0,0,0.667976,2.29,1.99,0.97,0,0.0,0.0,0.3,4
56,256,4,1.99,2.29,0.0,0.0,0,0,0.73438,2.29,1.99,0.97,0,0.0,0.0,0.3,4
57,257,4,1.99,2.29,0.0,0.4,0,1,0.787504,1.89,1.99,0.5700000000000001,0,0.174672,0.0,0.3,4
58,258,4,1.99,2.29,0.0,0.0,0,0,0.830003,2.29,1.99,0.97,0,0.0,0.0,0.3,4
59,258,7,1.86,2.18,0.0,0.0,0,0,0.8640030000000001,2.18,1.86,0.99,1,0.0,0.0,0.32,0
60,259,4,1.99,2.29,0.0,0.0,0,0,0.891202,2.29,1.99,0.97,0,0.0,0.0,0.3,4
61,260,4,1.99,2.09,0.0,0.0,0,0,0.912962,2.09,1.99,0.77,0,0.0,0.0,0.1,4
62,263,4,1.99,2.09,0.0,0.0,0,0,0.930369,2.09,1.99,0.77,0,0.0,0.0,0.1,4
63,265,4,1.99,2.09,0.1,0.0,0,0,0.944296,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
64,265,4,1.99,2.09,0.1,0.0,0,0,0.755436,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
65,266,4,1.99,2.09,0.1,0.0,0,0,0.804349,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
66,267,4,1.99,2.09,0.1,0.0,0,0,0.8434790000000001,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
67,269,4,1.99,2.09,0.1,0.0,0,0,0.874783,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
68,270,4,1.99,2.09,0.1,0.0,0,0,0.6998270000000001,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
69,272,4,1.99,2.09,0.0,0.4,0,0,0.5598609999999999,1.69,1.99,0.37000000000000005,0,0.191388,0.0,0.1,4
70,272,4,1.99,2.09,0.0,0.4,0,0,0.647889,1.69,1.99,0.37000000000000005,0,0.191388,0.0,0.1,4
71,274,4,1.99,2.09,0.0,0.4,0,0,0.7183109999999999,1.69,1.99,0.37000000000000005,0,0.191388,0.0,0.1,4
72,275,4,2.09,2.09,0.0,0.4,0,0,0.774649,1.69,2.09,0.27,0,0.191388,0.0,0.0,4
73,276,4,2.09,2.09,0.2,0.4,0,0,0.8197190000000001,1.69,1.89,0.47000000000000003,0,0.191388,0.095694,0.0,4
74,278,4,2.09,2.09,0.2,0.0,0,0,0.855775,2.09,1.89,0.8700000000000001,0,0.0,0.095694,0.0,4
75,230,7,1.69,1.99,0.0,0.0,0,1,0.68,1.99,1.69,0.97,1,0.0,0.0,0.3,0
76,238,4,1.79,2.09,0.0,0.0,0,0,0.7440000000000001,2.09,1.79,0.97,0,0.0,0.0,0.3,4
77,239,4,1.79,2.23,0.0,0.0,0,0,0.7952,2.23,1.79,1.11,0,0.0,0.0,0.44,4
78,251,4,1.99,2.23,0.0,0.0,0,0,0.83616,2.23,1.99,0.91,0,0.0,0.0,0.24,4
79,252,2,1.89,2.09,0.13,0.0,0,0,0.868928,2.09,1.76,1.0,0,0.0,0.068783,0.2,2
80,255,4,1.99,2.29,0.0,0.0,0,0,0.895142,2.29,1.99,0.97,0,0.0,0.0,0.3,4
81,263,4,1.99,2.09,0.0,0.0,0,0,0.916114,2.09,1.99,0.77,0,0.0,0.0,0.1,4
82,264,4,1.99,2.09,0.1,0.0,0,0,0.932891,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
83,269,4,1.99,2.09,0.1,0.0,0,0,0.946313,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
84,273,4,1.99,2.09,0.0,0.4,0,0,0.95705,1.69,1.99,0.37000000000000005,0,0.191388,0.0,0.1,4
85,275,4,2.09,2.09,0.0,0.4,0,0,0.96564,1.69,2.09,0.27,0,0.191388,0.0,0.0,4
86,276,2,1.99,2.18,0.0,0.0,0,1,0.972512,2.18,1.99,0.8600000000000001,0,0.0,0.0,0.19,2
87,277,4,2.09,2.09,0.2,0.4,0,0,0.97801,1.69,1.89,0.47000000000000003,0,0.191388,0.095694,0.0,4
88,252,4,1.99,2.23,0.0,0.0,0,0,0.68,2.23,1.99,0.91,0,0.0,0.0,0.24,4
89,275,4,2.09,2.09,0.0,0.4,0,0,0.7440000000000001,1.69,2.09,0.27,0,0.191388,0.0,0.0,4
90,277,3,2.09,2.09,0.2,0.4,0,0,0.7952,1.69,1.89,0.47000000000000003,0,0.191388,0.095694,0.0,3
91,237,4,1.79,2.09,0.0,0.0,0,0,0.5,2.09,1.79,0.97,0,0.0,0.0,0.3,4
92,269,4,1.99,2.09,0.1,0.0,0,0,0.6,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
93,242,4,1.99,2.23,0.0,0.0,0,0,0.5,2.23,1.99,0.91,0,0.0,0.0,0.24,4
94,244,7,1.86,2.09,0.0,0.2,0,0,0.6,1.89,1.86,0.7000000000000001,1,0.095694,0.0,0.23,0
95,241,2,1.75,1.99,0.0,0.3,0,1,0.5,1.69,1.75,0.6100000000000001,0,0.150754,0.0,0.24,2
96,277,2,1.99,2.18,0.0,0.0,0,0,0.6,2.18,1.99,0.8600000000000001,0,0.0,0.0,0.19,2
97,277,7,1.99,2.13,0.5,0.0,0,1,0.4,2.13,1.49,1.31,1,0.0,0.251256,0.14,0
98,227,2,1.69,1.69,0.0,0.0,0,0,0.7440000000000001,1.69,1.69,0.67,0,0.0,0.0,0.0,2
99,229,2,1.69,1.69,0.0,0.0,0,0,0.7952,1.69,1.69,0.67,0,0.0,0.0,0.0,2
100,234,2,1.69,1.99,0.0,0.0,0,0,0.83616,1.99,1.69,0.97,0,0.0,0.0,0.3,2
101,236,2,1.75,1.99,0.0,0.0,0,0,0.868928,1.99,1.75,0.91,0,0.0,0.0,0.24,2
102,237,2,1.75,1.99,0.0,0.0,0,0,0.895142,1.99,1.75,0.91,0,0.0,0.0,0.24,2
103,240,2,1.75,1.99,0.0,0.3,0,1,0.916114,1.69,1.75,0.6100000000000001,0,0.150754,0.0,0.24,2
104,241,2,1.75,1.99,0.0,0.3,0,1,0.932891,1.69,1.75,0.6100000000000001,0,0.150754,0.0,0.24,2
105,243,2,1.86,2.09,0.0,0.0,0,1,0.746313,2.09,1.86,0.9,0,0.0,0.0,0.23,2
106,245,2,1.89,2.09,0.0,0.0,0,0,0.79705,2.09,1.89,0.8700000000000001,0,0.0,0.0,0.2,2
107,245,1,1.86,2.09,0.17,0.0,0,0,0.8376399999999999,2.09,1.69,1.07,0,0.0,0.091398,0.23,1
108,248,2,1.89,2.09,0.0,0.0,0,0,0.8701120000000001,2.09,1.89,0.8700000000000001,0,0.0,0.0,0.2,2
109,248,2,1.89,2.09,0.0,0.0,0,0,0.8960899999999999,2.09,1.89,0.8700000000000001,0,0.0,0.0,0.2,2
110,249,2,1.89,2.09,0.0,0.0,0,0,0.916872,2.09,1.89,0.8700000000000001,0,0.0,0.0,0.2,2
111,249,1,1.86,2.09,0.0,0.0,0,0,0.933497,2.09,1.86,0.9,0,0.0,0.0,0.23,1
112,251,3,1.99,2.23,0.0,0.0,0,0,0.946798,2.23,1.99,0.91,0,0.0,0.0,0.24,3
113,253,2,1.89,2.09,0.13,0.0,0,0,0.7574380000000001,2.09,1.76,1.0,0,0.0,0.068783,0.2,2
114,254,2,1.89,2.09,0.13,0.0,0,0,0.805951,2.09,1.76,1.0,0,0.0,0.068783,0.2,2
115,255,2,1.89,2.18,0.13,0.0,0,0,0.8447610000000001,2.18,1.76,1.09,0,0.0,0.068783,0.29,2
116,257,3,1.99,2.29,0.0,0.4,0,1,0.875808,1.89,1.99,0.5700000000000001,0,0.174672,0.0,0.3,3
117,257,2,1.86,2.18,0.0,0.0,0,0,0.900647,2.18,1.86,0.99,0,0.0,0.0,0.32,2
118,258,2,1.86,2.18,0.0,0.0,0,0,0.920517,2.18,1.86,0.99,0,0.0,0.0,0.32,2
119,259,3,1.99,2.29,0.0,0.0,0,0,0.936414,2.29,1.99,0.97,0,0.0,0.0,0.3,3
120,259,2,1.86,2.18,0.0,0.4,0,1,0.949131,1.78,1.86,0.5900000000000001,0,0.1834859999999999,0.0,0.32,2
121,260,2,1.86,2.18,0.0,0.7,0,0,0.959305,1.48,1.86,0.29000000000000004,0,0.321101,0.0,0.32,2
122,261,1,1.76,1.99,0.0,0.0,0,0,0.967444,1.99,1.76,0.9,0,0.0,0.0,0.23,1
123,261,2,1.86,2.18,0.0,0.0,0,0,0.973955,2.18,1.86,0.99,0,0.0,0.0,0.32,2
124,263,2,1.86,2.18,0.0,0.0,0,1,0.979164,2.18,1.86,0.99,0,0.0,0.0,0.32,2
125,264,2,1.86,2.18,0.0,0.0,0,0,0.983331,2.18,1.86,0.99,0,0.0,0.0,0.32,2
126,265,2,1.86,2.18,0.0,0.0,0,0,0.786665,2.18,1.86,0.99,0,0.0,0.0,0.32,2
127,266,1,1.86,1.99,0.0,0.1,0,0,0.829332,1.89,1.86,0.7000000000000001,0,0.050251,0.0,0.13,1
128,266,2,1.86,2.18,0.0,0.0,0,0,0.863466,2.18,1.86,0.99,0,0.0,0.0,0.32,2
129,267,2,1.86,2.18,0.0,0.4,0,1,0.8907719999999999,1.78,1.86,0.5900000000000001,0,0.1834859999999999,0.0,0.32,2
130,270,2,1.86,2.18,0.0,0.0,0,0,0.912618,2.18,1.86,0.99,0,0.0,0.0,0.32,2
131,270,1,1.86,2.18,0.0,0.0,0,0,0.930094,2.18,1.86,0.99,0,0.0,0.0,0.32,1
132,271,2,1.86,2.18,0.0,0.06,0,0,0.944076,2.12,1.86,0.93,0,0.027523,0.0,0.32,2
133,272,2,1.86,2.18,0.0,0.06,0,0,0.95526,2.12,1.86,0.93,0,0.027523,0.0,0.32,2
134,273,7,1.86,2.13,0.0,0.54,0,0,0.964208,1.59,1.86,0.4,1,0.253521,0.0,0.27,0
135,273,1,1.86,2.18,0.0,0.0,0,0,0.971367,2.18,1.86,0.99,0,0.0,0.0,0.32,1
136,274,2,1.96,2.18,0.0,0.8,0,1,0.977093,1.38,1.96,0.09000000000000008,0,0.3669719999999999,0.0,0.22,2
137,275,2,1.96,2.18,0.0,0.8,0,1,0.981675,1.38,1.96,0.09000000000000008,0,0.3669719999999999,0.0,0.22,2
138,276,7,1.99,2.13,0.0,0.54,0,1,0.98534,1.59,1.99,0.27,1,0.253521,0.0,0.14,0
139,278,2,1.99,2.18,0.0,0.0,0,0,0.988272,2.18,1.99,0.8600000000000001,0,0.0,0.0,0.19,2
140,242,3,1.99,2.23,0.0,0.0,0,0,0.6,2.23,1.99,0.91,0,0.0,0.0,0.24,3
141,237,1,1.75,1.99,0.0,0.0,0,0,0.52,1.99,1.75,0.91,0,0.0,0.0,0.24,1
142,251,4,1.99,2.23,0.0,0.0,0,0,0.5,2.23,1.99,0.91,0,0.0,0.0,0.24,4
143,255,4,1.99,2.29,0.0,0.0,0,0,0.6,2.29,1.99,0.97,0,0.0,0.0,0.3,4
144,261,7,1.86,2.13,0.0,0.24,0,0,0.48,1.89,1.86,0.7000000000000001,1,0.112676,0.0,0.27,0
145,277,4,2.09,2.09,0.2,0.4,0,0,0.384,1.69,1.89,0.47000000000000003,0,0.191388,0.095694,0.0,4
146,233,7,1.75,1.99,0.0,0.4,1,0,0.5,1.59,1.75,0.51,1,0.201005,0.0,0.24,0
147,236,7,1.75,1.99,0.0,0.4,0,0,0.4,1.59,1.75,0.51,1,0.201005,0.0,0.24,0
148,243,7,1.86,2.09,0.0,0.2,0,0,0.32,1.89,1.86,0.7000000000000001,1,0.095694,0.0,0.23,0
149,244,7,1.86,2.09,0.0,0.2,0,0,0.256,1.89,1.86,0.7000000000000001,1,0.095694,0.0,0.23,0
150,245,7,1.86,2.09,0.0,0.2,0,0,0.2048,1.89,1.86,0.7000000000000001,1,0.095694,0.0,0.23,0
151,252,7,1.86,2.09,0.1,0.0,0,0,0.16384,2.09,1.76,1.0,1,0.0,0.053763,0.23,0
152,277,7,1.99,2.13,0.5,0.0,0,1,0.131072,2.13,1.49,1.31,1,0.0,0.251256,0.14,0
153,228,4,1.79,1.79,0.0,0.0,0,0,0.83616,1.79,1.79,0.67,0,0.0,0.0,0.0,4
154,230,3,1.79,1.79,0.0,0.0,0,0,0.868928,1.79,1.79,0.67,0,0.0,0.0,0.0,3
155,231,3,1.79,1.79,0.0,0.0,0,0,0.895142,1.79,1.79,0.67,0,0.0,0.0,0.0,3
156,233,1,1.69,1.99,0.0,0.0,0,0,0.916114,1.99,1.69,0.97,0,0.0,0.0,0.3,1
157,263,4,1.99,2.09,0.0,0.0,0,0,0.932891,2.09,1.99,0.77,0,0.0,0.0,0.1,4
158,264,4,1.99,2.09,0.1,0.0,0,0,0.946313,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
159,265,4,1.99,2.09,0.1,0.0,0,0,0.95705,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
160,266,4,1.99,2.09,0.1,0.0,0,0,0.96564,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
161,267,4,1.99,2.09,0.1,0.0,0,0,0.972512,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
162,269,4,1.99,2.09,0.1,0.0,0,0,0.97801,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
163,270,1,1.86,2.18,0.0,0.0,0,0,0.982408,2.18,1.86,0.99,0,0.0,0.0,0.32,1
164,271,4,1.99,2.09,0.1,0.4,1,0,0.985926,1.69,1.89,0.47000000000000003,0,0.191388,0.050251,0.1,4
165,272,4,1.99,2.09,0.0,0.4,0,0,0.988741,1.69,1.99,0.37000000000000005,0,0.191388,0.0,0.1,4
166,274,4,1.99,2.09,0.0,0.4,0,0,0.990993,1.69,1.99,0.37000000000000005,0,0.191388,0.0,0.1,4
167,276,4,2.09,2.09,0.2,0.4,0,0,0.992794,1.69,1.89,0.47000000000000003,0,0.191388,0.095694,0.0,4
168,277,4,2.09,2.09,0.2,0.4,0,0,0.994235,1.69,1.89,0.47000000000000003,0,0.191388,0.095694,0.0,4
169,278,3,2.09,2.09,0.2,0.0,0,0,0.995388,2.09,1.89,0.8700000000000001,0,0.0,0.095694,0.0,3
170,269,2,1.86,2.18,0.0,0.0,0,0,0.6,2.18,1.86,0.99,0,0.0,0.0,0.32,2
171,229,7,1.69,1.69,0.0,0.2,0,1,0.95705,1.49,1.69,0.47000000000000003,1,0.118343,0.0,0.0,0
172,230,7,1.69,1.99,0.0,0.0,0,1,0.96564,1.99,1.69,0.97,1,0.0,0.0,0.3,0
173,231,4,1.79,1.79,0.0,0.0,0,0,0.972512,1.79,1.79,0.67,0,0.0,0.0,0.0,4
174,233,4,1.79,2.09,0.0,0.0,0,0,0.97801,2.09,1.79,0.97,0,0.0,0.0,0.3,4
175,239,7,1.79,2.09,0.0,0.0,0,0,0.982408,2.09,1.79,0.97,1,0.0,0.0,0.3,0
176,240,4,1.79,2.23,0.0,0.0,0,0,0.985926,2.23,1.79,1.11,0,0.0,0.0,0.44,4
177,242,7,1.86,2.09,0.0,0.0,0,0,0.988741,2.09,1.86,0.9,1,0.0,0.0,0.23,0
178,243,4,1.99,2.23,0.0,0.0,0,0,0.990993,2.23,1.99,0.91,0,0.0,0.0,0.24,4
179,244,7,1.86,2.09,0.0,0.2,0,0,0.992794,1.89,1.86,0.7000000000000001,1,0.095694,0.0,0.23,0
180,246,4,1.99,2.23,0.0,0.0,0,0,0.994235,2.23,1.99,0.91,0,0.0,0.0,0.24,4
181,249,4,1.99,2.23,0.0,0.0,0,0,0.995388,2.23,1.99,0.91,0,0.0,0.0,0.24,4
182,250,7,1.86,2.09,0.0,0.0,0,0,0.996311,2.09,1.86,0.9,1,0.0,0.0,0.23,0
183,251,4,1.99,2.23,0.0,0.0,0,0,0.997049,2.23,1.99,0.91,0,0.0,0.0,0.24,4
184,254,4,1.99,2.29,0.0,0.0,1,0,0.997639,2.29,1.99,0.97,0,0.0,0.0,0.3,4
185,255,4,1.99,2.29,0.0,0.0,0,0,0.998111,2.29,1.99,0.97,0,0.0,0.0,0.3,4
186,257,4,1.99,2.29,0.0,0.4,0,1,0.998489,1.89,1.99,0.5700000000000001,0,0.174672,0.0,0.3,4
187,260,4,1.99,2.09,0.0,0.0,0,0,0.998791,2.09,1.99,0.77,0,0.0,0.0,0.1,4
188,261,4,1.99,2.09,0.0,0.0,0,0,0.999033,2.09,1.99,0.77,0,0.0,0.0,0.1,4
189,262,4,1.99,2.09,0.0,0.0,0,0,0.999226,2.09,1.99,0.77,0,0.0,0.0,0.1,4
190,264,4,1.99,2.09,0.1,0.0,0,0,0.999381,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
191,265,4,1.99,2.09,0.1,0.0,0,0,0.999505,2.09,1.89,0.8700000000000001,0,0.0,0.050251,0.1,4
192,266,7,1.86,2.13,0.37,0.0,1,0,0.999604,2.13,1.49,1.31,1,0.0,0.198925,0.27,0
193,267,7,1.86,2.13,0.0,0.0,1,0,0.999683,2.13,1.86,0.9400000000000001,1,0.0,0.0,0.27,0
194,269,7,1.86,2.13,0.27,0.0,1,0,0.999746,2.13,1.59,1.21,1,0.0,0.1451609999999999,0.27,0
195,271,4,1.99,2.09,0.1,0.4,1,0,0.999797,1.69,1.89,0.47000000000000003,0,0.191388,0.050251,0.1,4
196,272,4,1.99,2.09,0.0,0.4,0,0,0.999838,1.69,1.99,0.37000000000000005,0,0.191388,0.0,0.1,4
197,274,4,1.99,2.09,0.0,0.4,0,0,0.99987,1.69,1.99,0.37000000000000005,0,0.191388,0.0,0.1,4
198,275,7,1.99,2.13,0.0,0.54,1,0,0.999896,1.59,1.99,0.27,1,0.253521,0.0,0.14,0
199,276,4,2.09,2.09,0.2,0.4,0,0,0.999917,1.69,1.89,0.47000000000000003,0,0.191388,0.095694,0.0,4
200,277,7,1.99,2.13,0.5,0.0,0,1,0.999934,2.13,1.49,1.31,1,0.0,0.251256,0.14,0
201,278,4,2.09,2.09,0.2,0.0,0,0,0.999947,2.09,1.89,0.8700000000000001,0,0.0,0.095694,0.0,4
202,229,7,1.69,1.69,0.0,0.2,0,1,0.68,1.49,1.69,0.47000000000000003,1,0.118343,0.0,0.0,0
203,230,7,1.69,1.99,0.0,0.0,0,1,0.544,1.99,1.69,0.97,1,0.0,0.0,0.3,0
204,231,7,1.69,1.99,0.0,0.0,0,0,0.6352,1.99,1.69,0.97,1,0.0,0.0,0.3,0
205,233,7,1.75,1.99,0.0,0.4,1,0,0.70816,1.59,1.75,0.51,1,0.201005,0.0,0.24,0
206,237,7,1.75,1.99,0.0,0.4,0,0,0.766528,1.59,1.75,0.51,1,0.201005,0.0,0.24,0
207,241,7,1.86,2.09,0.0,0.0,0,0,0.813222,2.09,1.86,0.9,1,0.0,0.0,0.23,0
208,242,7,1.86,2.09,0.0,0.0,0,0,0.8505780000000001,2.09,1.86,0.9,1,0.0,0.0,0.23,0
209,253,7,1.86,2.09,0.1,0.0,0,0,0.8804620000000001,2.09,1.76,1.0,1,0.0,0.053763,0.23,0
210,256,7,1.86,2.18,0.0,0.0,0,0,0.90437,2.18,1.86,0.99,1,0.0,0.0,0.32,0
211,258,7,1.86,2.18,0.0,0.0,0,0,0.923496,2.18,1.86,0.99,1,0.0,0.0,0.32,0
