Country Name,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012
5,3341079,3244429,6155028,9792240,7254100,7479429,12515581,12896457,19111640,27143384,14616065
33,3578739,3777825,6742634,7810601,6847321,8113042,11972647,14147833,18540343,22602250,15660693
35,3939584,3866684,6927074,8009173,6871306,7681645,10708130,13152462,18121916,21918075,15014505
54,2698766,1640326,3839223,3113596,8379215,6597911,3933613,6599963,4344141,8415781,3163162
55,3347171,4723230,6223128,6640718,7863697,8893078,9826440,13944340,15722343,17010321,14327326
57,2740104,3512227,5792853,6182950,6624742,8111016,9111852,12967263,13739744,14421519,12056756
56,2740104,3512227,5792853,6182950,6624742,8111016,9111852,12967263,13739744,14421519,12056756
65,4801380,4341702,9288006,9722838,7896143,10942401,17129820,17169737,24916678,27367922,17360428
66,5359922,4471723,9350332,9524384,7983926,9450038,14173165,14810292,25684391,30148515,21332200
68,3836886,4319073,7063790,7892744,7387891,7094268,8803029,11520006,17921042,22788822,17905977
67,3828544,4174734,6874484,7804830,7360369,6661427,8418948,11087945,17956512,22771525,17812168
69,5043753,4117912,9205823,9643903,7415491,10297518,16423438,16777674,25648618,28614276,18108881
72,3708539,3936772,6475269,7994571,2364397,4357038,13234624,11483625,17076225,19840700,11765824
88,3552343,3840849,5867290,4839583,1716739,5800210,15357073,11632285,17339295,19639654,13112328
89,7400136,7730125,14177784,16023625,14314993,17139378,23840096,28790000,37212275,45416495,31144378
112,1534784,2458412,4902147,6355768,6180699,6797109,7407717,12201789,18072713,23657230,16979118
113,2426341,2092421,4811823,4948843,3707199,4991545,8982337,10003631,13168173,20054134,13702867
114,2620669,2369815,5076530,5131334,3885328,5157601,8975019,10035072,13327202,20089083,13624960
115,2726279,2480032,5046530,5145986,4044905,5152809,9108214,10216585,13453548,20361031,13871192
117,2939781,3231728,2207198,3744892,772959,4744832,13954562,10466519,14418448,14354763,11043501
123,0,0,0,0,0,0,749912,0,0,0,434150
124,3315688,4031219,5760550,4931794,1435978,5412681,12972161,12216628,17731955,20186749,14669197
125,3926828,2236230,4512483,6249047,5571158,5157569,6586993,5677831,4535508,5625132,0
139,3526973,3362794,6380314,8502074,9861649,9407469,10260458,14347504,19760028,27761278,15571813
141,3025132,2915878,5298898,6791137,8006214,8296717,10002983,13576676,17028038,21287235,12169149
140,3102771,3199512,5331148,6874837,8067664,8336067,9967983,13506676,17218038,21377235,12212899
142,510960,63036,1271457,3163339,5714429,3088354,0,2112809,983039,2543110,1549768
157,4963371,6197948,10644028,12405971,10805796,13062145,17489954,23783385,24890853,29030017,21968565
159,6358279,6758877,12151377,12451938,10677045,14182776,22362692,25782222,31490438,38503723,28923239
161,3723768,4054088,7005870,8061414,7213164,8656260,11923391,14201526,18937157,23717502,16116844
162,3828945,4076906,6992614,8046275,7102382,8396744,12153549,14236817,18609053,22654067,15713740
171,7180657,7638367,13307965,14256101,12663220,16399641,22829401,27359326,34066193,38858021,28109129
172,3653195,4182920,6195722,8501172,1401756,4361248,14878771,11309388,18166293,19930938,14892984
187,3478156,3720309,6677104,7728024,6862053,8163976,11605089,13927302,18656565,23514101,15921647
191,3372539,3404794,5835586,7444861,4227269,6627567,11520669,10820966,13378762,12828473,9504011
192,3372539,3404794,5835586,7444861,4227269,6627567,11520669,10820966,13378762,12828473,9504011
198,3537059,3948490,6092608,7032439,5617492,7212711,13448230,12727067,18182695,22233052,14095821
200,3537910,3949488,6092378,7032639,5620591,7218006,13447605,12727202,18180182,22234163,14097372
199,3537059,3948490,6092608,7032439,5617492,7212711,13448230,12727067,18182695,22233052,14095821
222,410780,1921061,3790981,5009425,7293678,6431820,5635256,10764415,15162525,19647837,17334583
229,3826648,4094255,7032007,8095133,7150407,8501035,12222249,14329437,18714994,22729859,15784815
0,3806648,4074255,7012007,6977674,3732108,7016850,14449723,13949963,19519114,22052362,16257822
1,3826549,4094156,7031908,8095034,7150308,8500936,11779037,14149831,18539588,22476933,15693065
2,3542382,3972920,6784185,7870300,7069387,8407733,12093570,14165024,18509766,22372519,15641547
3,3691648,3893100,6951052,8106588,7384556,8350753,12365060,14202736,18887588,22815145,15887137
4,3824945,4092630,7029133,8091641,7141567,8493406,12224866,14333858,18714712,22729767,15784759
6,3948649,4224256,7322007,7865132,7290406,8661037,12252248,14249437,18624994,22644861,15814815
7,3896983,4197654,7118411,8130857,7128076,8442722,11725961,14105564,18571028,22593850,15774939
8,3822325,4089980,7028470,8089663,7148486,8495841,12236467,14336363,18721257,22729418,15786068
9,4209637,4947037,7296136,8330877,7606634,9167268,12573327,14706989,19290098,23862547,16807922
10,3842644,4144656,7114008,8100635,7168409,8612034,12450090,14394519,18893111,22883622,15931904
11,3893077,4144721,7046627,8067011,7109585,8382278,12116676,14209652,18725649,22633061,15768690
12,3841005,4108335,7032894,8097924,7150587,8499936,12221854,14326340,18730477,22744222,15794487
13,3822307,4087056,7051130,8144095,7153602,8513934,12227729,14372523,18848494,23046403,15814730
14,3684270,3932433,4003753,6993641,6313088,8281672,11368532,13573316,17014991,19158905,13558334
15,3810745,4082375,7026574,8091538,7144818,8496958,12218986,14328114,18714917,22731909,15786995
16,3701261,4151829,7055029,8105134,7197521,8494726,12159192,14385583,18708612,22793792,15905350
17,3898559,4180423,7071282,8165376,7163867,8545829,12337640,14396614,18962554,22997063,16054813
18,3824230,4091298,7021342,8081591,7145075,8495631,12213238,14341346,18720791,22738581,15792409
19,3802353,4070513,7007162,8075740,7139559,8492312,12327249,14300150,18813825,22779859,15774815
20,3831648,4104255,7052007,8110133,7151204,8502630,12136362,14329580,18749970,22746688,15794815
21,3792645,4057254,6989009,8035126,7063405,8394037,12131252,14246435,18624999,22645856,15723021
22,3776646,3994256,6957008,8020134,7120408,8444661,11473875,14169417,18749814,22733536,15782309
23,3811648,4088235,7034333,8109978,7151008,8506838,12240113,14353983,18736272,22748589,15804815
24,3826648,4094255,7032007,8095133,7150407,8501035,12222249,14329437,18714994,22729859,15800739
25,3831857,4105002,7040012,8100757,7152234,8501278,12223595,14331289,18717288,22732300,15786917
26,3825211,4087832,6988611,8000265,7128061,8316892,11865785,14222835,18631992,22646857,15734815
27,3681925,3949532,6861744,7877733,6933007,8317336,12072248,14191938,18589994,22604859,15659815
28,3741659,4036355,6771413,7944845,7064405,8456715,11972249,13924438,18827526,22893592,15824815
29,3825481,4098522,6997100,8067151,7130094,8473278,12215873,14326999,18705135,22703993,15773763
30,3826648,3869254,6907007,8010134,7061553,8423013,12631663,14677932,18679838,22433872,15634816
31,3826648,4093255,7029507,8087133,7095407,8436035,12142249,14249437,18624994,22639859,15724815
32,4004714,4702783,7803533,8533160,7526536,9376048,12921013,15091048,19741696,23959764,16960678
34,3838578,4107400,7011932,8094133,7190572,8460053,12259641,14340730,18669994,22734859,15794815
36,3821648,4053305,6982957,7919633,7019162,8502453,12211875,14398881,18933960,22799859,15884815
37,3829582,4098135,7036257,8096859,7155787,8507120,12224369,14333215,18719586,22734338,15788469
38,3792897,4051660,6980238,8044135,7113102,8508944,12284794,14401077,18808783,22869204,15986104
39,2767816,4081518,5918882,7666820,6892335,8346779,11398592,13822437,16570943,20527756,13984815
40,3572650,3813255,6742009,7808135,6876410,8247034,11998251,14139437,18555991,22586859,15639817
41,3818157,4088755,7026507,8105133,7145907,8496535,12219249,14323437,18704994,22719859,15774815
42,3949298,4336165,7059457,8195818,6703547,8575550,13424653,13323053,18473430,22686433,15688895
43,3826648,4094755,7038952,8087725,7152504,8502950,12237780,14364737,18701737,22779731,15724815
44,3834553,4102082,7044645,8112558,7169283,8518452,12291451,14418964,18756786,22760198,15804473
45,4026648,4394255,7432007,8515133,7580407,8826035,12597249,14509437,18344994,22509859,15834815
46,3828502,4093030,7013604,8113814,7204776,8527180,12078670,14141308,18712414,22707327,15764815
47,3621648,3844255,6842007,7935133,6880407,8431036,12102243,14165440,18564996,22535861,15704816
48,3818896,4089729,7027007,8081882,7141943,8486488,12210732,14312360,18708924,22745222,15790525
49,3783623,4086412,7035060,8093918,7122773,8518202,12265444,14382697,18776824,22774025,15819815
50,3851647,3965156,7042006,8105132,7097461,8506706,12252248,14375439,18762396,22980748,15814814
51,3828904,4116121,7055263,8110058,7159726,8533874,12287715,14404005,18761300,22817848,15881654
52,3844648,4119255,7067004,8186326,7160406,8591033,12207249,14312936,18696843,22709894,15768819
53,3783158,4038083,6961183,8008035,7032305,8366565,12078095,14179291,18562441,22576086,15631805
58,3817646,4088755,7026508,8087935,7136406,8484037,12203249,14259438,18594992,22684860,15746814
59,3776548,3854555,6485211,7531564,6760626,8295607,11769741,14125294,18647286,22450631,15569134
60,3802617,4049949,6941030,7930903,6918658,8244350,11957097,14002584,18402208,22444188,15544400
61,3826648,4094255,6962007,8065133,7215407,8516035,12237249,14349437,18739994,22749859,15804815
62,3833645,4099254,7042007,8105133,7160407,8461035,11822247,14259437,18824995,22569858,15624814
63,3869876,4135459,7062588,8125643,7176307,8516532,12110373,14328240,18696588,22714708,15772965
64,3806649,4052073,6972410,6070336,7400408,9281109,13667523,14173860,18631812,22679727,15724814
70,3829099,4084688,7019501,8074424,7138779,8434160,12186453,14287177,18653197,22701105,15756095
71,3761664,3996318,7060887,8065756,7176588,8519303,12269472,14351591,18746929,22801002,15892224
73,5293330,4510472,7837188,8241988,7418538,8982904,12525665,14518403,19454389,23210646,16116370
74,3829838,4097599,7036395,8098977,7154057,8501276,12217925,14332920,18715071,22726396,15784315
75,3836058,4110443,7035006,8100132,7155406,8506034,12227248,14339003,18724560,22739425,15789815
76,3823416,4094373,7041399,8091753,7169882,8549427,12207448,14303019,18701252,22716117,15771339
77,3877761,4118401,6999851,8016213,7131791,8439458,11678180,13939401,18405973,22440325,15488492
78,4493610,5011830,7746160,8383795,7150430,10211718,15454903,15073725,18716211,22761499,17034813
79,3826648,3732256,6868005,7531134,7356408,8471032,12205964,14216801,18880512,22919118,15734816
80,3681405,3995133,7042778,8425344,7264427,8659922,12686885,14626868,18828580,22810016,15648516
81,3817680,4084936,7020581,8082266,7150119,8486034,12218326,14324525,18710862,22725585,15780541
82,3823743,4092813,7029876,8093622,7150516,8501134,12223988,14325321,18705438,22720083,15784815
83,3806649,4053757,6951007,7915132,6930404,8251034,11962248,14049436,18514996,22597859,15664814
84,3812791,4076255,6757007,7742133,7112407,8663485,13022249,14083289,18346990,22674282,15774815
85,3806648,4087025,7017007,8067133,7120407,8473035,12192249,14299437,18684994,22704859,15774815
86,3828780,4051060,6979939,8041167,7029069,8366227,12145424,14274680,18656281,22695730,15757537
87,3774651,4036252,6944007,7997134,7025408,8366034,12082248,14184439,18574995,22591855,15634815
90,3837648,4024255,6982007,8065133,7100405,8431034,12102250,14149434,18564995,22629862,15704815
91,4051129,3916453,7098515,8497126,7232878,8661199,12378089,14880247,18673738,22774575,15934815
92,3830632,4084334,7026059,8146369,7030946,8401299,12319045,14407999,18781157,22825648,15814814
93,3825916,4091498,7030946,8091204,7150667,8501681,12221195,14331431,18718888,22737900,15784437
94,3741266,3849073,9150330,9227314,7633504,8546182,11544311,13612537,16508583,19900481,13186597
95,3719162,4053994,6941647,7892386,7100841,8334297,11840426,13984475,17863684,21612865,15084815
96,3818810,4146010,7109640,8515129,9119827,9845412,9946245,14944730,18644687,22180593,15484814
97,3824786,4087378,7023420,8047342,6950468,7870851,12068223,14311578,18448674,22272527,16333481
98,3716914,4043395,7069338,8148191,7099662,8385842,12211601,14412849,18914943,22928003,15644814
99,4035407,4166695,7197886,8157679,7153011,8566453,12679172,14574771,18817929,23003494,15804312
100,3595041,3862474,7051403,8260060,7416759,8490977,12375074,14553411,20339294,23736167,16313084
101,3678926,3925857,6928831,7982671,7070063,8342341,12112250,14239435,18622995,22634860,15687815
102,4035811,4972545,7489106,8140147,7362470,7872867,12673641,14346414,19337052,23175126,16134815
103,3862363,4348607,7002301,8014375,7232064,8619233,12623721,14141175,18621097,23179857,16014432
104,4518329,4267598,6976546,7781503,6752148,7844944,10710504,13004453,18759524,22694663,15944622
105,3806648,4074720,7014092,8092203,7154212,8506058,12443818,14308051,18740138,22540529,15734815
106,3825429,4092981,7030507,8092557,7147295,8500269,12217651,14326460,18712955,22729281,15782685
107,3826648,4094255,7032007,8095133,7150407,8501035,12222249,14329437,18714994,22729859,15784815
108,3545260,3705137,6582278,7929954,7467450,8936016,11589201,14036355,18944011,23134574,16084815
109,3980247,4231789,7141169,8207789,7246359,8611794,11641351,14427937,18853994,23251859,16302315
110,3943496,4204326,7066147,8113087,7110419,8380835,11950659,14296732,18542083,22653255,15670852
111,3826724,4094285,7032053,7896377,7115297,8501173,12177065,14198183,18539894,22612159,15667115
116,3902924,4163737,7086675,8136404,7190291,8543037,12086627,14290395,18632302,22643691,15711373
118,3846648,4024253,7022007,7825133,6936026,8272995,12312249,14300009,19265104,22913229,17034815
119,3801648,4071855,7007959,8088595,7124647,8438353,12175904,14255010,18680501,22705441,15764817
120,3834644,4105268,7043003,8107082,7150407,8101035,11922249,14779437,18664994,22905444,15764815
121,3872539,4142257,7090672,8152667,7263787,8506525,12226214,14338173,18703315,22647851,15283123
122,3851363,4120569,7069789,8133948,7194211,8537898,12121948,14218277,18631256,22588200,15615286
126,3835175,4100173,7047291,8106979,7152959,8513866,12242289,14349377,18729467,22772138,15833519
127,3846450,4130338,7025004,8089122,7183154,8538446,12241093,14349640,18744860,22786181,15819815
128,3785708,4065274,6971005,8080384,7077655,8402217,12088751,14324438,18699722,22724860,15779816
129,3826648,4086255,7013007,8065133,7142407,8493035,12215249,14323437,18709994,22724859,15779815
130,3764720,4032327,6979603,8061785,7121802,9414972,11322665,14292617,18678174,22693039,15754815
131,3907332,4075533,7000951,8088183,7308427,8936443,12521061,14726938,19205824,23382093,16234815
132,3826067,4091351,7034422,8095133,7150407,8498430,12219177,14328337,18714889,22729806,15784762
133,3756405,3996020,6936422,7920135,6932343,8020383,12048760,14187487,18647884,22629036,15482366
134,3800264,4081654,7022325,8090290,7153287,8502194,12225142,14333753,18720754,22743384,15791067
135,3824828,4091495,7026057,8085433,7134307,8470735,12207549,14339337,18744994,22709859,15764815
136,3795779,4065099,7011544,8074516,7128775,8465058,12216638,14320579,18695622,22717780,15784815
137,3415644,3474254,6132008,6883132,5631407,6965201,10919381,12484730,15873804,22320263,15261230
138,3826648,4094255,7024010,8094585,7150407,8498574,12220015,14315819,18702144,22717727,15776623
143,3927538,4168704,7087831,8068719,7141222,8416504,12090296,14164128,18702915,22681948,15775286
144,3826648,4094255,7032007,8095133,7150407,8501035,12133817,14276974,18699993,22714858,15769814
145,3824647,4040482,7030006,8087732,7148406,8471070,12202000,14307849,18706995,22726751,15782403
146,3585726,3616502,6534330,7801805,6829748,8082460,11755622,13770057,18020173,22151947,15474191
147,3803148,4070755,7008507,8182506,6777041,7201035,12872249,14279437,18752498,22679859,15759815
148,3826648,4094255,7032007,8095133,7095751,8301035,11522256,13791439,17342306,21263060,15310537
149,3826648,4093385,7029182,8050548,7121268,8575826,12245741,14364934,18664994,22679859,15783444
150,3756648,4073180,7026208,8054131,7049260,8284628,12298313,13864734,17792151,21705963,15412446
151,3838237,4148891,7211467,8275851,7229932,8634880,12442332,14482990,18859614,22785533,15894821
152,3829995,4095361,7038449,8093911,7148322,8501510,12227027,14335008,18719765,22734093,15790475
153,3869399,4091631,7108685,8020339,7147499,8491617,12340265,14372021,18849623,22792272,15792080
154,3812645,4075258,6994008,8037132,7040405,8351034,12102248,14184437,18540996,22574859,15649815
155,3815103,4082710,7018244,8076995,7057461,8409118,12219570,14353493,18686497,22701362,15756318
156,3827669,4050908,6993481,8949782,6478767,8409628,12126480,14234410,18544994,22429859,15484815
158,3824374,4108122,7061280,8115861,7175212,8539750,12269152,14388210,18782394,22903860,16020480
160,3816648,4089255,7057477,8171542,7231907,8512204,12315949,14121550,18755446,22915359,16995815
163,3733380,3884277,6893901,8795133,8495640,8640825,11093525,13600805,17818508,21433487,14702897
164,3814720,4081563,7019719,8081056,7137703,8491640,12224203,14339234,18731113,22752103,15812920
165,3822331,4097248,7024655,8086890,7150407,8501035,12222249,14329437,18714994,22729859,15784815
166,3756068,4028430,6973177,8048802,7129198,8483793,12191200,14285576,18668075,22612560,15698115
167,3796648,4044252,6944008,7996135,7032409,8316034,11928250,13789436,18079995,22239860,15544815
168,3827012,3822410,6794273,7781497,6973734,8202279,11717371,13563817,17617623,20900825,15084815
169,3816452,3951141,6861104,7988538,7068516,8042049,11981747,14085505,18753044,22735094,15711006
170,3278764,3392655,7140194,8293762,7083513,8353162,12371371,14503041,18893347,22856884,15644815
173,3735061,3960000,6990976,8075554,7101987,8445843,12221953,14298987,18569290,22591816,15681278
174,3842985,4115167,7066375,8123448,7252504,8558552,12199796,14372277,18900337,23584698,16148315
175,3824647,4092254,7030006,7995134,6950407,8301035,11702248,13719437,18224522,21855453,15347614
176,2432305,3543636,6741718,8734934,8257407,9407650,14741966,16637657,20450318,24887208,16902699
177,3686647,4114255,7012007,8075133,7100405,8531034,10874383,15539571,18642393,22654858,15709814
178,3825195,4089212,7018695,8077570,7132977,8482381,12208525,14312137,18699268,22714488,15772125
179,3817496,4093511,7029498,8093912,7144408,8495036,12216650,14321144,18709395,22724260,15779216
180,3952637,4281262,7523881,9090809,8542033,9091935,12197249,14389624,19659994,23544859,16634815
181,3876650,4180777,7097593,7960350,7065299,8440744,12152241,14119573,18563863,22563808,15684819
182,3825797,4093257,7032237,8094933,7147308,8495740,12222874,14329302,18717507,22728748,15783264
183,3826648,4094255,7032007,8095133,7150407,8563780,11772249,14179437,19214994,22789859,15763815
184,3827076,4093892,7037896,8109399,7288218,8620836,12471176,14584680,19150589,23179104,16182751
185,3800221,4036417,7016753,8085437,7115630,8465723,12207141,14326473,18716193,22739456,15786014
186,3804589,4079305,7049949,8129819,7218770,8533644,12204788,14330924,18729992,22779483,15789139
188,3828996,4096443,7034125,8095315,7150406,8499203,12221278,14328760,18710096,22717963,15772947
189,3825602,4095744,7032001,9682698,6318362,7868749,11328884,14229433,18514994,22379859,15384815
190,3941858,4295194,7263576,8168449,7325519,8367672,13026844,14488348,19787070,24132499,16384815
193,3826648,4094255,7057007,8155133,7300407,8096035,11146249,14729437,19146994,23514859,16649815
194,3632841,3948319,7128997,8172036,7107116,8433364,12541517,15225456,21544222,24979864,15191746
195,3779148,4055755,6887007,7857633,6754907,8363595,11966469,13867753,18265514,22209794,15300043
196,3817276,4086558,7022358,8086201,7142266,8496773,12217443,14328489,18714767,22732709,15784855
197,3817322,4084241,7023215,8087876,7143062,8493932,12213567,14321489,18709794,22724737,15779815
201,3826648,4094255,7052007,8275133,7370407,8651035,13572249,13839437,18284994,22229859,14984815
202,3815598,4080393,6975187,8054781,7118636,8496190,12218907,14327035,18692852,22724184,15779815
203,3816740,4084783,7024135,8085661,7135911,8518184,12184006,14317437,18668917,22723859,15778815
204,3906999,4225235,7050805,8183700,7180206,8635604,12378709,14387907,18856717,22992312,16057441
205,4102829,4187233,7057192,7959768,7231447,8631892,12469655,14394655,18901119,23074731,16167082
206,3810648,4078255,6950506,7933461,7063406,8354534,12152249,14199437,18335084,23099859,11754819
207,3904387,4128895,7060961,8089384,7128537,8463073,11932986,14004644,18618452,22664424,15667433
208,3853645,4130279,7150996,8072883,7187588,8569243,12813534,14123563,18419042,22464542,15584816
209,3826648,4094255,7434585,8382359,7492320,9014710,11414715,15025241,19817856,21871322,15884815
210,3827318,4095119,7034249,8001349,7160707,8496185,12218063,14173381,18715006,22624913,15734811
211,3748763,4233178,6982008,7995133,7200408,8481035,12127246,14299437,18705000,22719865,15774821
212,3826751,4091108,7024372,8087244,7137865,8490133,12211167,14320736,18706865,22721663,15776737
213,3768712,4032692,7002650,8064275,7116129,8455964,12190276,14296892,18701835,22718556,15779815
214,3684153,3997732,6934942,8023065,7235989,8550034,12362590,14292633,18575949,22696918,15751874
215,3567479,3774486,6717208,7727135,7072816,8351035,12022248,14179439,18614992,22679859,17784818
216,3862909,4130684,7063556,8111474,7125291,8466716,12265882,14269113,18600540,22672811,15759814
217,3951848,4147585,6791477,7928473,7035067,8734401,12342244,14283700,18709994,22594859,15634815
218,4280812,4361884,7241858,8199516,7339499,8501035,12296670,13867173,18549549,22965054,15979815
219,3864530,4148078,7277229,8486349,7325988,8761966,12549079,14813889,19894994,26222859,16189815
220,3969211,4009402,7138422,8134252,7052912,8599793,12427692,14828435,19683344,24253798,16684815
221,4785305,5589420,9872502,11967944,10429667,12187132,16791190,23021774,23864151,27800112,20792702
223,3820648,4060255,6896007,8035133,7120407,8471035,12202249,14303437,18610994,22679859,15754815
224,4134945,4538335,7476280,8173808,7036020,8112599,11822247,14039437,18264997,22439859,15589814
225,3826715,4093749,7033446,8095378,7147095,8498234,12221954,14322350,18714492,22730994,15785418
226,3845522,4097427,7032899,8096227,7151780,8501926,12221677,14327376,18707346,22701464,15715694
227,3826648,4094255,7032007,7282010,6825465,8168708,11828013,14113436,17942658,21852178,15584813
228,3836918,4097500,7041414,8097094,7146915,8489879,12217631,14325501,18709722,22723668,15781211
230,3726648,3848593,6679007,8020133,7100407,8451035,12895049,14229437,18614994,22729859,15734815
231,3829148,4090010,7058669,8112706,7208890,8503857,12199297,14408882,18621980,22605815,15750325
232,3816647,4066259,7001647,7993617,7291931,8621540,12030446,14129437,18319440,22422209,15564893
